sentence_index,NN,RB,JJ,VBG,NNS,VBN,IN,VB,DT,VBD,CC,NNP,VBP,MD,TO,VBZ,PRP,CD,WRB,PRP$,WDT,RBR,JJR,WP,POS,RP,EX,JJS,(,),NNPS,RBS,PDT,UH,FW
1,22.5,4.0,14.0,4.0,9.0,0.5,12.0,5.0,8.0,0.5,7.0,0.5,2.0,3.0,1.5,5.5,5.0,0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
2,25.5,5.5,16.0,9.5,14.0,3.5,18.5,8.0,12.5,3.5,7.0,1.5,4.0,4.5,3.0,1.0,6.0,0,3.0,2.0,0.5,1.0,1.0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0
3,24.0,10.0,24.5,11.0,16.0,2.0,14.5,6.5,8.5,0,6.0,1.0,7.0,4.5,3.5,5.0,4.0,0,2.5,1.5,0.5,1.0,0,0,0,0,0.5,0,1.0,1.0,0,0,0,0,0
4,23.0,4.0,19.5,7.0,25.0,0.5,17.0,11.0,8.0,5.5,6.5,0.5,3.5,3.5,5.0,1.5,5.0,1.5,1.0,1.5,0.5,1.0,2.5,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0
5,26.5,8.5,23.0,7.5,20.5,1.5,19.5,10.0,9.5,0,5.5,0.5,4.0,4.5,3.5,4.0,3.0,0.5,1.0,1.5,1.0,1.0,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0
6,29.0,9.5,24.5,10.0,27.5,1.0,19.5,14.0,8.5,0.5,8.0,0,6.0,8.0,5.0,2.0,2.0,1.0,2.5,0,0.5,1.5,3.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0
7,17.5,5.5,12.0,4.0,15.5,2.0,9.5,7.0,7.5,0,4.0,0,4.0,4.5,3.0,2.5,2.0,0,3.5,1.0,1.0,2.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
8,18.0,3.0,12.5,8.5,20.0,3.0,12.0,6.5,7.5,0,7.5,1.0,5.0,3.0,4.0,2.5,3.5,0,1.0,2.0,0.5,1.0,1.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
9,21.5,5.0,14.5,6.5,15.5,1.0,10.0,6.5,7.5,0.5,7.0,0.5,4.5,3.0,2.5,3.5,2.5,0,1.5,1.5,1.5,0.5,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
10,22.0,5.5,18.5,9.5,27.5,2.5,14.0,10.0,8.0,0,7.5,2.0,4.0,5.0,4.0,3.5,2.0,0,1.0,0.5,1.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
11,25.0,7.0,15.5,10.5,26.0,2.0,17.5,7.0,9.0,0,8.5,0.5,4.0,4.0,4.5,5.0,2.0,0.5,1.0,0,0.5,0,0.5,1.5,0,0,0,0,0,0,0,0.5,0,0,0
12,55.5,26.0,48.5,20.5,29.5,11.0,16.0,6.0,10.0,8.5,6.5,3.0,7.0,2.5,5.5,3.5,2.0,0,1.5,1.0,1.5,1.0,2.0,0.5,0,1.0,0,0,0.5,0.5,0,0,0,0,0
13,66.5,33.0,61.5,26.0,36.0,7.0,18.0,7.5,9.0,7.0,8.0,0,5.0,4.5,3.0,3.5,2.0,0.5,3.0,0.5,1.0,0.5,1.0,0.5,0.5,0,0,1.0,0,0,0,0,0,0,0
14,64.5,30.0,64.5,19.0,32.5,10.0,21.5,12.5,7.5,7.5,8.5,2.5,3.0,6.0,5.5,5.0,3.0,1.0,1.5,0,1.5,0.5,1.5,0,0.5,0.5,1.0,0,0.5,0.5,0,0.5,0,0,0
15,59.5,37.5,65.0,18.5,38.0,9.0,20.0,15.5,9.0,11.5,8.0,6.0,2.5,7.0,5.5,5.0,1.0,2.0,1.0,2.0,0.5,0,1.0,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0
16,65.5,37.5,60.0,15.0,29.5,15.5,21.0,9.0,6.0,8.5,8.0,5.5,6.0,4.0,2.5,4.5,2.5,2.0,1.5,1.0,3.0,0,0.5,1.0,0,0,0,0.5,0,0,0,0.5,0,0,0
17,60.0,39.0,60.5,20.0,31.0,15.5,17.0,13.5,8.0,12.5,8.0,6.0,5.5,3.5,7.5,4.0,3.0,2.5,0.5,1.0,3.0,0,1.0,0.5,0.5,0,0,1.0,0,0,0,0,0,0,0
18,46.0,51.5,47.5,13.0,30.5,22.5,22.5,11.5,7.5,5.5,9.5,10.5,7.0,3.5,5.5,4.0,2.5,3.0,1.5,3.0,1.5,1.5,1.0,0.5,0,0,0.5,0,0,0,1.0,0,0,0,0
19,39.5,59.0,56.0,19.5,24.5,22.5,17.5,11.5,7.0,3.0,6.5,7.0,5.0,6.0,4.0,6.0,1.0,2.5,1.5,0.5,1.5,1.0,0,1.0,0,0.5,1.0,0,0,0,0,0,0,0,0
20,42.5,60.0,50.0,18.0,29.5,27.0,14.5,12.0,5.5,8.0,7.0,10.5,5.0,5.0,5.0,2.0,1.5,2.5,2.0,1.5,1.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0
21,50.5,56.5,49.0,12.0,27.5,28.0,20.5,8.0,11.0,7.5,6.5,6.5,5.5,3.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.5,3.0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0
22,47.5,56.0,60.5,12.5,34.0,23.5,21.5,9.5,9.0,8.5,8.0,7.5,5.5,3.0,4.5,3.5,1.0,2.5,2.5,2.0,1.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1.0,0,0,0,0.5
23,62.5,81.5,66.0,32.5,33.5,33.0,26.0,18.0,5.0,8.5,8.0,20.0,5.0,7.0,4.5,4.0,2.5,4.5,2.5,1.5,0.5,0,0.5,0,1.0,0.5,0,0,0.5,0.5,0.5,1.0,0,0,0
24,89.0,78.5,66.0,35.0,36.5,39.5,17.0,10.5,9.5,8.5,7.0,17.5,4.5,2.0,4.0,3.0,0.5,5.0,2.0,0.5,1.0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
25,70.5,87.0,51.0,43.0,44.5,44.0,13.0,13.0,4.5,9.5,9.0,11.5,3.5,3.5,3.5,1.5,0.5,4.5,2.5,1.0,0,0.5,1.5,1.0,0,1.0,0,0,0,0,0,0,0,0,0
26,74.5,85.0,64.5,31.0,27.0,37.5,18.0,14.0,6.0,11.5,6.5,16.0,5.5,4.0,4.5,1.5,4.5,4.5,1.0,0.5,1.0,0.5,2.0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0
27,47.5,44.5,24.0,37.5,21.0,2.5,14.5,12.0,6.0,0.5,4.0,9.0,1.5,6.0,4.5,1.0,1.5,3.0,0,0.5,0.5,0,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
28,62.0,38.5,25.5,28.0,18.0,4.0,13.5,10.5,5.5,1.0,5.0,6.5,5.0,2.5,3.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0
29,10.0,2.5,10.0,2.5,11.5,2.0,6.5,4.0,4.5,0,3.0,1.0,4.0,2.0,1.0,1.0,1.5,0,1.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,65.0,81.0,53.0,35.0,24.0,38.0,20.0,14.5,6.0,8.0,6.0,14.0,5.5,6.0,4.0,4.0,3.0,4.0,1.0,0,1.0,1.0,0,1.0,0,0.5,0,0,0,0,0,0,0,0,0
31,57.5,74.5,45.5,38.0,18.5,48.0,12.5,7.0,5.0,9.0,3.0,4.5,4.5,4.0,0.5,1.0,0.5,1.5,0.5,1.5,1.5,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0
32,32.0,65.5,40.0,12.5,9.5,37.5,6.0,4.0,3.0,10.5,2.5,1.0,1.5,1.5,1.0,0.5,0.5,0.5,0.5,1.0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
33,76.5,94.5,60.0,43.0,16.5,46.0,13.0,8.0,7.0,14.5,5.5,6.0,4.5,4.0,1.5,2.0,1.0,2.0,1.0,0.5,1.0,0.5,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
34,42.0,36.0,21.0,31.5,10.5,17.0,12.0,8.5,7.0,2.0,4.0,5.5,4.0,3.0,2.5,2.5,2.5,1.5,1.0,0,0.5,0.5,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0
35,60.0,79.0,49.0,43.5,20.5,38.5,13.5,12.5,8.0,9.5,5.5,6.0,2.5,5.0,3.5,1.0,1.5,1.5,0.5,0.5,0.5,1.0,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0
36,63.0,71.5,50.5,42.5,17.5,30.5,12.0,6.5,7.0,9.0,3.0,2.0,3.5,3.5,1.0,1.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0
37,53.5,65.5,44.5,36.5,16.5,24.5,9.0,7.5,6.5,7.5,5.0,3.5,5.0,3.0,2.0,0,1.0,1.0,1.0,0,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
38,60.0,67.5,48.5,35.5,15.5,28.0,10.5,7.0,5.0,9.5,4.5,6.0,3.0,2.0,2.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
39,49.5,53.5,36.0,39.0,13.5,22.0,6.5,5.5,5.0,4.5,5.5,6.0,4.0,2.5,2.5,0.5,1.5,0.5,1.0,0,1.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
40,49.5,71.0,42.5,35.0,16.5,37.0,9.5,6.5,5.5,9.0,5.5,8.0,2.5,2.0,2.5,3.5,0.5,1.5,1.0,0,0.5,1.5,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0
41,55.0,64.5,44.0,37.5,19.5,25.5,13.5,9.5,9.0,6.5,5.0,7.0,3.5,3.0,3.0,2.5,2.0,2.0,1.0,1.5,1.0,0.5,0.5,0.5,0,1.0,0,0,0,0,0.5,0,0,0,0
42,55.5,56.0,60.5,21.5,15.5,19.0,8.5,6.5,4.0,7.5,3.0,2.5,2.5,3.5,1.5,1.5,1.5,0.5,1.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
43,61.5,95.5,52.0,44.5,12.5,38.0,8.0,4.5,5.5,10.5,3.5,4.0,2.5,2.5,3.5,1.5,1.5,1.0,1.0,1.0,0,1.0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
44,71.0,80.5,59.0,44.0,20.5,32.0,15.5,10.5,6.0,9.5,6.0,9.5,2.5,3.5,3.0,1.5,1.0,2.5,1.0,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
45,59.5,81.0,47.0,39.0,15.0,34.0,9.5,7.5,8.0,7.0,6.5,5.0,4.5,2.0,1.5,1.5,0.5,2.0,0.5,0,2.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0
46,48.0,35.5,27.0,18.5,7.5,13.0,7.5,6.5,4.0,4.5,4.0,1.5,2.0,2.0,3.0,0.5,2.0,0.5,1.0,1.0,0,2.0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
47,42.0,54.5,30.0,39.0,11.0,21.5,5.0,5.0,3.0,8.5,2.5,3.0,3.0,2.5,0.5,0,1.0,0.5,1.0,0,0.5,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0
48,43.5,45.0,28.0,33.0,6.0,22.0,4.0,6.0,4.0,5.0,2.0,0,2.5,2.5,2.5,0.5,1.0,0,0.5,0.5,1.0,1.0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0
49,58.5,70.5,29.5,55.0,9.0,28.5,9.0,6.5,6.0,6.5,4.5,5.0,6.0,1.5,2.5,0,1.0,1.0,0.5,1.5,0.5,1.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
50,49.5,69.0,31.0,35.0,9.5,30.5,6.5,6.0,4.0,6.5,3.5,4.0,3.5,2.5,2.0,0,1.0,1.0,1.5,0.5,0.5,1.5,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0
